Beneficiario,RNP,Localidad,Municipio,Estado,Aprobación-Conapesca,Aprobación-Gob.Edo.
PESCADORES DEL PORVENIR JERICO,0707000030,JERICO (PORVENIR JERICO),VILLA CORZO,Chis,"$30,498.00","$15,249.00"
LA CHIAPANECA,0701000473,"LUPE, LA",ACAPETAHUA,Chis,"$90,000.00","$47,550.00"
LA CHIAPANECA,0701000473,BARRA ZACAPULCO,ACAPETAHUA,Chis,"$90,000.00","$47,550.00"
LA PALMA,0701000093,"PALMA, LA",ACAPETAHUA,Chis,"$30,498.00","$15,249.00"
LA PALMA,0701000093,"PALMA, LA",ACAPETAHUA,Chis,"$30,498.00","$15,249.00"
LA PALMA,0701000093,"PALMA, LA",ACAPETAHUA,Chis,"$30,498.00","$15,249.00"
LA PALMA,0701000093,"PALMA, LA",ACAPETAHUA,Chis,"$30,498.00","$15,249.00"
LOS CERRITOS,0701000101,"ARENAL, EL",ACAPETAHUA,Chis,"$30,498.00","$15,249.00"
LOS CERRITOS,0701000101,"ARENAL, EL",ACAPETAHUA,Chis,"$30,498.00","$15,249.00"
LOS CERRITOS,0701000101,"LAURAS, LAS",ACAPETAHUA,Chis,"$90,000.00","$47,550.00"
GRIJALVA,0708000161,RAUDALES MALPASO,TECPATÁN,Chis,"$30,498.00","$15,249.00"
GRIJALVA,0708000161,FRANCISCO VILLA,TECPATÁN,Chis,"$30,498.00","$15,249.00"
SUCHIATE EL GANCHO,0705002137,"PALMA, LA",ACAPETAHUA,Chis,"$90,000.00","$47,550.00"
ESCOLLERAS,0705003028,PUERTO MADERO (SAN BENITO),TAPACHULA,Chis,"$90,000.00","$47,550.00"
ESCOLLERAS,0705003028,PUERTO MADERO (SAN BENITO),TAPACHULA,Chis,"$90,000.00","$47,550.00"
ESCOLLERAS,0705003028,PUERTO MADERO (SAN BENITO),TAPACHULA,Chis,"$90,000.00","$47,550.00"
PESCADORES DE LA BAHIA,0706001518,PAREDON,TONALÁ,Chis,"$90,000.00","$47,550.00"
PESCADORES DEL BARRIO MANUEL VELAZCO SUAREZ,0707000170,PAREDON,TONALÁ,Chis,"$65,024.00","$32,512.00"
RANCHERIA MARGARITAS,0707000550,JERICO (PORVENIR JERICO),VILLA CORZO,Chis,"$63,271.00","$31,635.00"
EL DIAMANTE,0707000121,DIAMANTE DE ECHEVERRIA,CONCORDIA. LA,Chis,"$27,993.00","$13,996.00"
EL DIAMANTE,0707000121,DIAMANTE DE ECHEVERRIA,CONCORDIA. LA,Chis,"$42,451.00","$21,225.00"
EL DIAMANTE,0707000121,DIAMANTE DE ECHEVERRIA,CONCORDIA. LA,Chis,"$30,498.00","$15,249.00"
EL DIAMANTE,0707000121,DIAMANTE DE ECHEVERRIA,CONCORDIA. LA,Chis,"$30,498.00","$15,249.00"
LINDA VISTA,0708000120,LINDAVISTA (NUEVO LINDAVISTA),OSTUACÁN,Chis,"$17,312.00","$8,656.00"
LINDA VISTA,0708000120,PLAN DE AYALA,OSTUACÁN,Chis,"$30,498.00","$15,249.00"
LINDA VISTA,0708000120,PLAN DE AYALA,OSTUACÁN,Chis,"$17,311.00","$8,655.00"
LINDA VISTA,0708000120,LINDAVISTA (NUEVO LINDAVISTA),OSTUACÁN,Chis,"$17,311.00","$8,655.00"
BARRA DE MAPACHE,0703000604,CHOCOHUITAL (EMBARCADERO COSTA AZUL),PIJIJIAPAN,Chis,"$68,895.00","$34,447.00"
PESCADORES DEL PORVENIR JERICO,0707000030,JERICO (PORVENIR JERICO),VILLA CORZO,Chis,"$30,498.00","$15,249.00"
PESCADORES DEL PORVENIR JERICO,0707000030,JERICO (PORVENIR JERICO),VILLA CORZO,Chis,"$63,271.00","$31,635.00"
PESCADORES DEL PORVENIR JERICO,0707000030,JERICO (PORVENIR JERICO),VILLA CORZO,Chis,"$63,271.00","$31,635.00"
EFRAIN VAZQUEZ RAMOS,0703000539,UNION PIJIJIAPAN,PIJIJIAPAN,Chis,"$15,750.00","$7,875.00"
LA PUNTA DE MACABIL,0706001568,CABEZA DE TORO,TONALÁ,Chis,"$27,993.00","$13,996.00"
LA PUNTA DE MACABIL,0706001568,REFORMA,REFORMA,Chis,"$27,993.00","$13,996.00"
LA PUNTA DE MACABIL,0706000156,TONALA,TONALÁ,Chis,"$27,993.00","$13,996.00"
PESCADORES DEL PORVENIR JERICO,0707000030,JERICO (PORVENIR JERICO),VILLA CORZO,Chis,"$30,498.00","$15,249.00"
BARRITA DE PAJON,0703000380,BARRITA DE PAJON,MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
BARRITA DE PAJON,0703000380,PAMPA HONDA,MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
LUCHADORES DEL CASTA?O,0703000448,"ANONAL, EL",MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
BARRITA DE PAJON,0703000380,PAMPA HONDA,MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
BARRITA DE PAJON,0703000380,PAMPA HONDA,MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
LUCHADORES DEL CASTA?O,0703000448,"ANONAL, EL",MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
BARRITA DE PAJON,0703000380,PAMPA HONDA,MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
LUCHADORES DEL CASTA?O,0703000448,"CASTA?, EL",MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
LUCHADORES DEL CASTA?O,0703000448,"CASTA?, EL",MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
LUCHADORES DEL CASTA?O,0703000448,"CASTA?, EL",MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
PLAYA PAREDON,0706001583,PAREDON,TONALÁ,Chis,"$30,498.00","$15,249.00"
LUCHADORES DEL CASTA?O,0703000448,"CASTA?, EL",MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
LUCHADORES DEL CASTA?O,0703000448,"ANONAL, EL",MAPASTEPEC,Chis,"$30,498.00","$15,249.00"
LA YUNCA,1201006556,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$23,553.00","$14,132.00"
RIBERE?A JUAN R. ESCUDERO,1201001276,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$57,976.00","$34,786.00"
LOS BRODYS,1204003394,PLAYA BOCA CHICA (BOCA CHICA),TÉCPAN DE GALEANA,Gro,"$77,143.00","$46,286.00"
MALECON,1201006648,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$84,434.00","$50,661.00"
MALECON,1201006648,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$77,143.00","$46,286.00"
COAPINOLA,1201007943,TECOMATE PESQUERIA,SAN MARCOS,Gro,"$25,105.00","$15,063.00"
MORROS DE IXTAPA,1202002109,ZIHUATANEJO,JOSÉ AZUETA,Gro,"$59,986.00","$35,992.00"
LOS PANTANOS DE PLAN DE LOS AMATES,1201000419,PLAN DE LOS AMATES,ACAPULCO DE JUÁREZ,Gro,"$30,000.00","$18,000.00"
ARTURO MAYO FLORES,1201004122,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$58,255.00","$34,953.00"
SAN PEDRO LAS PLAYAS,1201000021,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$23,553.00","$14,132.00"
SEGUNDA GENERACION LAS PLAYAS,1201006333,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$25,105.00","$15,063.00"
PESCADORES Y BUCEADORES COMPRESORISTAS DE PLAYA MANZANILLO,1201006911,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$80,000.00","$48,000.00"
LA YUNCA,1201006556,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$30,000.00","$18,000.00"
LA TORTUGA,1201008172,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$40,152.00","$24,091.00"
LA TORTUGA,1201008172,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$40,152.00","$24,091.00"
LOS TIMUCHES,1204003428,COLONIA VICENTE GUERRERO,ATOYAC DE ALVAREZ,Gro,"$30,000.00","$18,000.00"
Y ACUICOLA EL PESEBRE SC DE RL DE CV,1201007398,"EMBARCADERO, EL (EL EMBARCADERO DE ALVAREZ)",COYUCA DE BENÍTEZ,Gro,"$22,262.00","$13,358.00"
CORAL BLANCO,1201000831,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$36,250.00","$21,750.00"
EL CORMORAN,1201000302,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$90,000.00","$54,046.00"
EL CORMORAN,1201000302,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$90,000.00","$54,046.00"
EL CORMORAN,1201000302,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$66,022.00","$39,614.00"
EL PULPO SONRIENTE,1201009303,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$26,903.00","$16,142.00"
EL PULPO SONRIENTE,1201009303,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$26,903.00","$16,142.00"
EL PULPO SONRIENTE,1201009303,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$26,903.00","$16,142.00"
TERCERA GENERACION LAS PLAYAS,1201009360,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$25,222.00","$15,133.00"
LOS TIMUCHES,1204003428,COLONIA VICENTE GUERRERO,ATOYAC DE ALVAREZ,Gro,"$30,000.00","$18,000.00"
LOS TIMUCHES,1204003428,COLONIA VICENTE GUERRERO,ATOYAC DE ALVAREZ,Gro,"$30,000.00","$18,000.00"
SAN PEDRO LAS PLAYAS CALLE CROTOS,1201007604,SAN PEDRO LAS PLAYAS,ACAPULCO DE JUÁREZ,Gro,"$26,903.00","$16,142.00"
PLAYA LAS HAMACAS,1201007042,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$80,000.00","$48,000.00"
PLAYA LAS HAMACAS,1201007042,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$30,000.00","$18,000.00"
BAHIA DE TECOANAPA SC DE RL DE CV,1205001884,"BARRA DE TECOANAPA, LA (BARRA DE TECOANAPA)",AZOYÚ,Gro,"$80,000.00","$48,000.00"
PLAYA LAS HAMACAS ,1201007042,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$80,000.00","$48,000.00"
PLAYA EL RECODO,1201008040,"ARENAL, EL",ACAPULCO DE JUÁREZ,Gro,"$30,000.00","$18,000.00"
VARADERO DE SANTA ROSA,1201006408,NICOLAS BRAVO (ZANJA DEL TENIENTE),ACAPULCO DE JUÁREZ,Gro,"$22,500.00","$13,500.00"
UNION DE PESCADORES EN GENERAL DE LA PLAYA HORNITOS DE ACAPULCO GUERRERO,1201004072,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$56,437.00","$33,862.00"
ATARRAYEROS DE ZIHUATANEJO,1202003240,ZIHUATANEJO,JOSÉ AZUETA,Gro,"$75,000.00","$45,000.00"
PESCADORES RIBEREÑOS DE ICACOS,1201006748,ACAPULCO DE JUAREZ,ACAPULCO DE JUÁREZ,Gro,"$26,903.00","$16,142.00"
ATARRAYEROS DE ZIHUATANEJO,1202003240,ZIHUATANEJO,JOSÉ AZUETA,Gro,"$19,484.00","$11,690.00"
EL ATRACADERO,1202003008,ZIHUATANEJO,JOSÉ AZUETA,Gro,"$59,986.00","$35,992.00"
EL ATRACADERO,1202003008,ZIHUATANEJO,JOSÉ AZUETA,Gro,"$59,986.00","$35,992.00"
EL HUITUSSI,2505000253,"COLORADITO, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
EL HUITUSSI,2505000253,"COLORADITO, EL",GUASAVE,Sin,"$90,000.00","$36,000.00"
EL HUITUSSI,2505000253,"COLORADITO, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
PEDRO RUBIO SANCHEZ,2506001581,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
JOSE CUSTODIO MACHADO,2505000220,MIGUEL ALEMAN,GUASAVE,Sin,"$89,000.00","$35,600.00"
JOSE CUSTODIO MACHADO,2505000220,"CERRO CABEZON, EL",GUASAVE,Sin,"$63,500.00","$25,400.00"
JOSE CUSTODIO MACHADO,2505000220,MIGUEL ALEMAN,GUASAVE,Sin,"$89,000.00","$35,600.00"
RAFAEL GALLARDO LOMAS,2509000804,ALTATA,NAVOLATO,Sin,"$90,000.00","$36,000.00"
LAS MU?ECAS,2509001612,YAMETO,NAVOLATO,Sin,"$90,000.00","$36,000.00"
EL FARO DE YAMETO,2509002305,YAMETO,NAVOLATO,Sin,"$61,250.00","$24,500.00"
EL SABINAL DE RUBEN AYALA,2501001750,"SABINAL, EL",ELOTA,Sin,"$24,950.00","$9,980.00"
EL SABINAL DE RUBEN AYALA,2501001750,"SABINAL, EL",ELOTA,Sin,"$24,950.00","$9,980.00"
EL SABINAL DE RUBEN AYALA,2501001750,SAN JOSE DE CONITACA (NUEVO CONITACA),ELOTA,Sin,"$24,950.00","$9,980.00"
EL SABINAL DE RUBEN AYALA,2501001750,"SABINAL, EL",ELOTA,Sin,"$37,000.00","$14,800.00"
EL SABINAL DE RUBEN AYALA,2501001750,"SABINAL, EL",ELOTA,Sin,"$27,500.00","$11,000.00"
PESCADORES DE LA BRECHA,2504001567,TEACAPAN,ESCUINAPA,Sin,"$37,000.00","$14,800.00"
PESCADORES DE LA BRECHA,2504001567,TEACAPAN,ESCUINAPA,Sin,"$37,000.00","$14,800.00"
MANUEL CASTRO PEѕELAS,2506001037,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ENSENADA VACAPORA,2506000260,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ENSENADA VACAPORA,2506000260,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ENSENADA VACAPORA,2506000260,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
SOSTENES GAXIOLA HIGUERA,2507002901,"COLORADO, EL",AHOME,Sin,"$73,000.00","$29,200.00"
PACIOTECOLA,2507000806,BACOREHUIS,AHOME,Sin,"$47,000.00","$18,800.00"
PACIOTECOLA,2507000806,BACOREHUIS,AHOME,Sin,"$39,822.00","$25,977.00"
ENSENADA DE EL BOLUDO,2511001212,"COLORADO, EL",AHOME,Sin,"$73,000.00","$29,200.00"
UNION DE PESCADORES DEL PUERTO DE ALTATA,2509000218,ALTATA,NAVOLATO,Sin,"$87,500.00","$35,000.00"
EL CHUNARITO,2506000351,PLAYA COLORADA,ANGOSTURA,Sin,"$89,000.00","$35,600.00"
EL CHUNARITO,2506000351,PLAYA COLORADA,ANGOSTURA,Sin,"$89,000.00","$35,600.00"
UNION DE PESCADORES DEL PUERTO DE ALTATA,2509000218,ALTATA,NAVOLATO,Sin,"$87,500.00","$35,000.00"
UNION DE PESCADORES DEL PUERTO DE ALTATA,2509000218,ALTATA,NAVOLATO,Sin,"$87,500.00","$35,000.00"
UNION DE PESCADORES DEL PUERTO DE ALTATA,2509000218,ALTATA,NAVOLATO,Sin,"$89,000.00","$35,600.00"
LA CURVA DE JESUS MARIA,2501001792,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
LA CURVA DE JESUS MARIA,2501001792,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
PESCADORES DE ANGOSTURA,2506000286,"REFORMA, LA",ANGOSTURA,Sin,"$86,250.00","$34,500.00"
PESCADORES DE ANGOSTURA,2506000286,"REFORMA, LA",ANGOSTURA,Sin,"$86,250.00","$34,500.00"
PESCADORES DE ANGOSTURA,2506000286,"REFORMA, LA",ANGOSTURA,Sin,"$86,250.00","$34,500.00"
PESCADORES DE ANGOSTURA,2506000286,"REFORMA, LA",ANGOSTURA,Sin,"$86,250.00","$34,500.00"
LA CURVA DE JESUS MARIA,2501001792,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
LA CURVA DE JESUS MARIA,2501001792,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
GENERAL RAFAEL BUELNA,2509000192,"MOLINO, EL (EL MOLINO DE SATAYA)",NAVOLATO,Sin,"$89,000.00","$35,600.00"
GENERAL RAFAEL BUELNA,2509000192,"MOLINO, EL (EL MOLINO DE SATAYA)",NAVOLATO,Sin,"$63,500.00","$25,400.00"
GENERAL RAFAEL BUELNA,2509000192,"MOLINO, EL (EL MOLINO DE SATAYA)",NAVOLATO,Sin,"$63,500.00","$25,400.00"
BASOPO,2507000996,BACOREHUIS,AHOME,Sin,"$63,500.00","$25,400.00"
BASOPO,2507000996,BACOREHUIS,AHOME,Sin,"$63,500.00","$25,400.00"
PALMITO DEL VERDE,2504000759,PALMITO DEL VERDE,ESCUINAPA,Sin,"$26,000.00","$10,400.00"
ISLOTE DEL MERO,2506000443,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ISLOTE DEL MERO,2506000443,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ISLOTE DEL MERO,2506000443,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ISLOTE DEL MERO,2506000443,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
ISLOTE DEL MERO,2506000443,COSTA AZUL,ANGOSTURA,Sin,"$89,000.00","$35,600.00"
ISLOTE DEL MERO,2506000443,COSTA AZUL,ANGOSTURA,Sin,"$73,000.00","$29,200.00"
LA CURVA DE JESUS MARIA,2501001792,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
LA CURVA DE JESUS MARIA,2501001792,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
LA CURVA DE JESUS MARIA,2501001792,BADIRAGUATO,BADIRAGUATO,Sin,"$27,500.00","$11,000.00"
LA CURVA DE JESUS MARIA,2501001792,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
LA CURVA DE JESUS MARIA,2501001792,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
NICOLAS ESCARREGA INZUNZA,2506000229,"REFORMA, LA",ANGOSTURA,Sin,"$63,500.00","$25,400.00"
NICOLAS ESCARREGA INZUNZA,2506000229,"REFORMA, LA",ANGOSTURA,Sin,"$63,500.00","$25,400.00"
NICOLAS ESCARREGA INZUNZA,2506000229,"REFORMA, LA",ANGOSTURA,Sin,"$63,500.00","$25,400.00"
NICOLAS ESCARREGA INZUNZA,2506000229,"REFORMA, LA",ANGOSTURA,Sin,"$63,500.00","$25,400.00"
NICOLAS ESCARREGA INZUNZA,2506000229,"REFORMA, LA",ANGOSTURA,Sin,"$63,500.00","$25,400.00"
ISIDORA ORTIZ GALAVIZ,2507002935,"ALHUATE, EL",AHOME,Sin,"$89,000.00","$35,600.00"
EUGENIO SANCHEZ CUADRAS,2506000153,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
EUGENIO SANCHEZ CUADRAS,2506000153,"REFORMA, LA",ANGOSTURA,Sin,"$89,000.00","$35,600.00"
EUGENIO SANCHEZ CUADRAS,2506000153,"REFORMA, LA",ANGOSTURA,Sin,"$89,000.00","$35,600.00"
EUGENIO SANCHEZ CUADRAS,2506000153,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
EUGENIO SANCHEZ CUADRAS,2506000153,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
EUGENIO SANCHEZ CUADRAS,2506000153,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
LA BALLENA,2507000079,"AGUAJITO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
LA BALLENA,2507000079,"AGUAJITO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
LA BALLENA,2507000079,"AGUAJITO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
REYNITA,2507002919,SAN LORENZO VIEJO,AHOME,Sin,"$63,500.00","$25,400.00"
UNION DE PESCADORES DEL RIO SINALOA,2505000261,"HUITUSSI, EL",GUASAVE,Sin,"$73,000.00","$29,200.00"
UNION DE PESCADORES DEL RIO SINALOA,2505000261,"HUITUSSI, EL",GUASAVE,Sin,"$89,000.00","$35,600.00"
CEHE CAHUI,2507005219,LAZARO CARDENAS (MUELLECITO),AHOME,Sin,"$63,500.00","$25,400.00"
ESTERO EL 17,2507002786,"GRULLAS MARGEN DERECHA, LAS",AHOME,Sin,"$63,500.00","$25,400.00"
RUBEN BOOL VILLEGAS,2507005326,"AGUAJITO, EL",AHOME,Sin,"$77,500.00","$31,000.00"
DE PRODUCTOS DEL MAR DE TEACAPAN,2504001484,TEACAPAN,ESCUINAPA,Sin,"$89,000.00","$35,600.00"
DE PRODUCTOS DEL MAR DE TEACAPAN,2504001484,TEACAPAN,ESCUINAPA,Sin,"$89,000.00","$35,600.00"
PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,2509000200,DAUTILLOS,NAVOLATO,Sin,"$89,000.00","$35,600.00"
PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,2509000200,DAUTILLOS,NAVOLATO,Sin,"$89,000.00","$35,600.00"
PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,2509000200,DAUTILLOS,NAVOLATO,Sin,"$73,000.00","$29,200.00"
PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,2509000200,DAUTILLOS,NAVOLATO,Sin,"$89,000.00","$35,600.00"
PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,2509000200,DAUTILLOS,NAVOLATO,Sin,"$73,000.00","$29,200.00"
PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,2509000200,DAUTILLOS,NAVOLATO,Sin,"$89,000.00","$35,600.00"
PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,2509000200,DAUTILLOS,NAVOLATO,Sin,"$89,000.00","$35,600.00"
PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,2509000200,DAUTILLOS,NAVOLATO,Sin,"$90,000.00","$36,000.00"
PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,2509000200,DAUTILLOS,NAVOLATO,Sin,"$89,000.00","$35,600.00"
PESCADORES DE LA BAHIA DE BARADITO Y ALTAMURA,2509000200,DAUTILLOS,NAVOLATO,Sin,"$90,000.00","$36,000.00"
ESTERO SECO,2509001554,DAUTILLOS,NAVOLATO,Sin,"$73,000.00","$29,200.00"
REFUGIO GARCIA CASTRO,2506001052,"REFORMA, LA",ANGOSTURA,Sin,"$89,000.00","$35,600.00"
LA TASPANA,2506001045,"REFORMA, LA",ANGOSTURA,Sin,"$73,000.00","$29,200.00"
PRESA PRESIDENTE ADOLFO LOPEZ MATEOS,2501000380,"VAREJONAL, EL",BADIRAGUATO,Sin,"$27,500.00","$11,000.00"
PRESA PRESIDENTE ADOLFO LOPEZ MATEOS,2501000380,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
PRESA PRESIDENTE ADOLFO LOPEZ MATEOS,2501000380,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
PRESA PRESIDENTE ADOLFO LOPEZ MATEOS,2501000380,JESUS MARIA,CULIACÁN,Sin,"$27,500.00","$11,000.00"
UNION DE PESCADORES DEL RIO SINALOA,2505000261,"HUITUSSI, EL",GUASAVE,Sin,"$73,000.00","$29,200.00"
ENSENADA DEL TIBURON,2502000314,"ARENITAS, LAS",CULIACÁN,Sin,"$61,586.00","$24,634.00"
ENSENADA DEL TIBURON,2502000314,"ARENITAS, LAS",CULIACÁN,Sin,"$86,250.00","$34,500.00"
ENSENADA DEL TIBURON,2502000314,"ARENITAS, LAS",CULIACÁN,Sin,"$61,586.00","$24,634.00"
EL SABINAL DE RUBEN AYALA,2501001750,SAN JOSE DE CONITACA (NUEVO CONITACA),ELOTA,Sin,"$26,500.00","$10,600.00"
PESCADORES EL BRINCO,2502000124,"ARENITAS, LAS",CULIACÁN,Sin,"$89,000.00","$35,600.00"
PESCADORES EL BRINCO,2502000124,"ARENITAS, LAS",CULIACÁN,Sin,"$61,502.00","$24,601.00"
PESCADORES EL BRINCO,2502000124,"ARENITAS, LAS",CULIACÁN,Sin,"$61,502.00","$24,601.00"
DAUTILLOS,2509000325,DAUTILLOS,NAVOLATO,Sin,"$73,000.00","$29,200.00"
DAUTILLOS,2509000325,DAUTILLOS,NAVOLATO,Sin,"$90,000.00","$36,000.00"
DAUTILLOS,2509000325,DAUTILLOS,NAVOLATO,Sin,"$90,000.00","$36,000.00"
DAUTILLOS,2509000325,DAUTILLOS,NAVOLATO,Sin,"$90,000.00","$36,000.00"
DAUTILLOS,2509000325,DAUTILLOS,NAVOLATO,Sin,"$89,000.00","$35,600.00"
DAUTILLOS,2509000325,DAUTILLOS,NAVOLATO,Sin,"$73,000.00","$29,200.00"
DAUTILLOS,2509000325,DAUTILLOS,NAVOLATO,Sin,"$73,000.00","$29,200.00"
DAUTILLOS,2509000325,DAUTILLOS,NAVOLATO,Sin,"$73,000.00","$29,200.00"
DAUTILLOS,2509000325,DAUTILLOS,NAVOLATO,Sin,"$90,000.00","$36,000.00"
DAUTILLOS,2509000325,DAUTILLOS,NAVOLATO,Sin,"$90,000.00","$36,000.00"
PESCADORES EL BRINCO,2502000124,"ARENITAS, LAS",CULIACÁN,Sin,"$90,000.00","$36,000.00"
BARRA DE LA TONINA,2509000408,"AGUAMITAS, LAS",NAVOLATO,Sin,"$89,000.00","$35,600.00"
BARRA DE LA TONINA,2509000408,"AGUAMITAS, LAS",NAVOLATO,Sin,"$89,000.00","$35,600.00"
BARRA DE LA TONINA,2509000408,"AGUAMITAS, LAS",NAVOLATO,Sin,"$89,000.00","$35,600.00"
BARRA DE LA TONINA,2509000408,"AGUAMITAS, LAS",NAVOLATO,Sin,"$89,000.00","$35,600.00"
BARRA DE LA TONINA,2509000408,"AGUAMITAS, LAS",NAVOLATO,Sin,"$73,000.00","$29,200.00"
BARRA DE LA TONINA,2509000408,"AGUAMITAS, LAS",NAVOLATO,Sin,"$73,000.00","$29,200.00"
BARRA DE LA TONINA,2509000408,"AGUAMITAS, LAS",NAVOLATO,Sin,"$89,000.00","$35,600.00"
BARRA DE LA TONINA,2509000408,"AGUAMITAS, LAS",NAVOLATO,Sin,"$89,000.00","$35,600.00"
BARRA DE LA TONINA,2509000408,"POTRERO DE SATAYA, EL",NAVOLATO,Sin,"$89,000.00","$35,600.00"
EL PAREDON COLORADO,2501002030,PAREDON COLORADO,ELOTA,Sin,"$37,000.00","$14,800.00"
EL PAREDON COLORADO,2501002030,"CRUZ, LA",ELOTA,Sin,"$37,000.00","$14,800.00"
COSPITA,2501000455,COSPITA,CULIACÁN,Sin,"$89,000.00","$35,600.00"
COSPITA,2501000455,COSPITA,CULIACÁN,Sin,"$89,000.00","$35,600.00"
COSPITA,2501000455,COSPITA,CULIACÁN,Sin,"$63,500.00","$25,400.00"
JESUS RAMON ARREOLA MORALES,2509000754,"CASTILLO, EL",NAVOLATO,Sin,"$89,000.00","$35,600.00"
JOSUE GUADALUPE,2507005201,"AGUAJITO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
IGNACIO SARMIENTO,2507000517,"HECHO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
IGNACIO SARMIENTO,2507000517,"HECHO, EL",AHOME,Sin,"$63,500.00","$25,400.00"
